CSR [11:10],CSR [9:8],CSR [7:0],Address (Hex),Privilege,Name,L71,A71/H71,Width,Fields,Field Type,Reset value,Instruction Access,"Updated by
(direct write, not via instructions)","Output to 
(direct read)",Description,Risc-V Description,Note,Group,Shadow of,Access Enable,Disable Action,Reset Impl A,Reset Impl H,Field Access,bit63,bit62,bit61,bit60,bit59,bit58,bit57,bit56,bit55,bit54,bit53,bit52,bit51,bit50,bit49,bit48,bit47,bit46,bit45,bit44,bit43,bit42,bit41,bit40,bit39,bit38,bit37,bit36,bit35,bit34,bit33,bit32,bit31,bit30,bit29,bit28,bit27,bit26,bit25,bit24,bit23,bit22,bit21,bit20,bit19,bit18,bit17,bit16,bit15,bit14,bit13,bit12,bit11,bit10,bit09,bit08,bit07,bit06,bit05,bit04,bit03,bit02,bit01,bit00,Reset Impl L,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L09,L08,L07,L06,L05,L04,L03,L02,L01,L00
,,,0x301,MRW,misa,RO,RO,MXLEN,MXL Extensions,WARL,"A71/H71: 0x8000_0000_0094_112d
L71: 0x4094_1125",MRO,-,-,Preset at configuration/build time.,ISA and extensions,"* Fields:
** MXL[1:0] field:  encodes XLEN, i.e. 1: 32-bit, 2: 64-bit, 3: 128-bit
** Extensions[25:0] field (Refer to Table 3.2 in Risc-V Spec Vol2) 

* Reset: at reset, the Extensions field shall contain the maximal set of supported extensions, and I shall be selected over E if both are available.",M Trap Setup,,-,,"{1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2}","{1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2}",Yes,MXL,MXL,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,Z,Y,X,W,V,U,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,C,B,A,"{1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2}",MXL,MXL,wpri,wpri,wpri,wpri,Z,Y,X,W,V,U,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,C,B,A
,,,0x302,MRW,medeleg,medeleg,medeleg,MXLEN,Exceptions,WARL,0,MRW,-,PLC,,Machine exception delegation register.,"medeleg has a bit position allocated for every synchronous exception shown in Table 3.6 (Risc-V Spec Vol2), with the index of the bit position equal to the value returned in the mcause register.",M Trap Setup,,,,{0},{0},Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,{0},Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
,,,0x303,MRW,mideleg,mideleg,mideleg,MXLEN,Interrupts,WARL,0,MRW,-,PLC,,Machine interrupt delegation register.,"mideleg holds trap delegation bits for individual interrupts, with the layout of bits matching those in the mip register.",M Trap Setup,,,,"{0,0,0,0,0,0}","{0,0,0,0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEID,wpri,SEID,wpri,MTID,wpri,STID,wpri,MSID,wpri,SSID,wpri,"{0,0,0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEID,wpri,SEID,wpri,MTID,wpri,STID,wpri,MSID,wpri,SSID,wpri
,,,0x304,MRW,mie,mie,mie,MXLEN,MEIE SEIE MTIE STIE MSIE SSIE,WARL,0,MRW,-,PLC,,Machine interrupt-enable register.,,M Trap Setup,,,,"{0,0,0,0,0,0}","{0,0,0,0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEIE,wpri,SEIE,wpri,MTIE,wpri,STIE,wpri,MSIE,wpri,SSIE,wpri,"{0,0,0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEIE,wpri,SEIE,wpri,MTIE,wpri,STIE,wpri,MSIE,wpri,SSIE,wpri
,,,0x305,MRW,mtvec,mtvec,mtvec,MXLEN,BASE MODE,WARL,-,MRW,-,PLC,,Machine trap-handler base address.,"0-direct mode: all exceptions set pc to BASE.
1-vectored mode: asynchronous interrupts set pc to BASE+4xcause
bit[1:0] = 0/1, bit[XLEN-1:2]: 4-byte aligned (define bit[4:2] reserved)",M Trap Setup,,,,-,-,Yes,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,wpri,wpri,wpri,MODE,-,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,wpri,wpri,wpri,MODE
,,,0x306,MRW,mcounteren,mcounteren,mcounteren,32,HPM<31-3> IR TM CY,WARL,0,MRW,-,CSR,,Machine counter enable.,"When the CY, TM, IR, or HPMn bit in the mcounteren register is clear, attempts to read the cycle, time, instret, or hpmcountern register while executing in S-mode or U-mode will cause an illegal instruction exception.",M Trap Setup,,,,"{0,0,0,0}","{0,0,0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,TM,CY,"{0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,TM,CY
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x30a,MRW,menvcfg,menvcfg,menvcfg,MXLEN,STCE PBMTE CBZE CBCFE CBIE FIOM,RW,0,MRW,-,TBD (MMU?),,Machine environment configuration register.,,M Configuration,,,,0,0,,STCE,PBMTE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,CBZE,CBCFE,CBIE,CBIE,wpri,wpri,wpri,FIOM,0,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,CBZE,CBCFE,CBIE,CBIE,wpri,wpri,wpri,FIOM
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x310,MRW,mstatush,mstatush,-,32,MBE=SBE=0 (only supports little-endian),WPRI RW,0,MRW,TBD,TBD,Not available for A71/H71.,"Additional machine status register, RV32 only.",,M Trap Setup,,,,"{0,0}","{0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MBE,SBE,wpri,wpri,wpri,wpri,"{0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MBE,SBE,wpri,wpri,wpri,wpri
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x31a,MRW,menvcfgh,menvcfgh,-,32,STCE PBMTE,WPRI RW,0,MRW,-,TBD (MMU?),Not available for A71/H71.,"Additional machine env. conf. register, RV32 only. Same as menvcfg[63:32]",,M Configuration,,,,"{0,0}","{0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,STCE,PBMTE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,"{0,0}",STCE,PBMTE,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri
,,,0x320,MRW,mcountinhibit,mcountinhibit,mcountinhibit,32,HPM<31-3> IR CY,WARL,0,MRW,-,CSR,,Machine counter-inhibit register.,It can be used to stop performance counters from incrementing to reduce energy consumption.,M Counter Setup,,,,"{0,0,0}","{0,0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,wpri,CY,"{0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,wpri,CY
,,,0x321,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x322,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x323-0x326,MRW,mhpmevent<3-6>,mhpmevent<3-6>,mhpmevent<3-6>,MXLEN,Events select,WARL,-,MRW,-,CSR,,Machine performance-monitoring event selector.,,M Counter Setup,,,,-,-,Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt,evt
,,,0x327-0x33f,MRW,mhpmevent<7-31>,ROZ,ROZ,MXLEN,Events select,WARL,0,MROZ,-,CSR,,Machine performance-monitoring event selector.,Tie off,M Counter Setup,,,,-,-,,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri
,,,0x340,MRW,mscratch,mscratch,mscratch,MXLEN,mscratch,RW,0,MRW,-,-,,Scratch register for machine trap handlers.,Used to hold a pointer to a machine-mode hart-local context space and swapped with a user register upon entry to an M-mode trap handler,M Trap Handling,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x341,MRW,mepc,mepc,mepc,MXLEN,"mepc[0] = 0, 
mepc[1]=0 if IALIGN=32",WARL,0,MRW,PLC,PLC (for mret),bit[0] is always 0.,Machine exception program counter.,,M Trap Handling,,,,{0},{0},Yes,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,wpri,{0},epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,wpri
,,,0x342,MRW,mcause,mcause,mcause,MXLEN,Interrupt(0/1) & Exception(0-63),WLRL,-,MRW,PLC,-,WLRL field requires to check the write value against the supported value. Convert unsupported value to 0x2 for write.,Machine trap cause.,,M Trap Handling,,,,-,-,Yes,Intr,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,-,Intr,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
,,,0x343,MRW,mtval,mtval,mtval,MXLEN,mtval,WARL,-,MRW,PLC,-,,Machine bad address or instruction.,"* set to zero or other exception-specific value when a trap is taken
* Exceptions to write 'faulting virtual address' non-zero value to mtval
Breakpoint, address-misaligned, access-fault, page-fault",M Trap Handling,,,,-,-,No,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,-,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val
,,,0x344,MRW,mip,mip,mip,MXLEN,MEIP SEIP MTIP STIP MSIP SSIP,WARL,0,"MEIP/MTIP/MSIP: MRO
SEIP/STIP/SSIP: MRW","MEIP/SEIP: External pin (set/clr) 
MTIP/STIP: External pin (set/clr)
MSIP/SSIP: External pin (set)",PLC,"MEIP/SEIP: External pin (set/clr),  
MTIP/STIP: External pin (set/clr), 
MSIP/SSIP: External pin (set).",Machine interrupt pending.,,M Trap Handling,,,,"{0,0,0,0,0,0}","{0,0,0,0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEIP,wpri,SEIP,wpri,MTIP,wpri,STIP,wpri,MSIP,wpri,SSIP,wpri,"{0,0,0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MEIP,wpri,SEIP,wpri,MTIP,wpri,STIP,wpri,MSIP,wpri,SSIP,wpri
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x34a,MRW,mtinst,,,,,,,,,,,Machine trap instruction (transformed).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x34b,MRW,mtval2,,,,,,,,,,,Machine bad guest physical address.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x3a0,MRW,pmpcfg0,pmpcfg0 (PMP_ENABLE==1),pmpcfg0 (PMP_ENABLE==1),MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,PMP_ENABLE,ROZ,0,0,,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,0,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp3cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp2cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp1cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg,pmp0cfg
,,,0x3a1,MRW,pmpcfg1,pmpcfg1 (PMP_ENABLE==1),-,32,pmp*cfg,WARL,0 (A=L=0),"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,PMP_ENABLE,ROZ,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,0,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp7cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp6cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp5cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg,pmp4cfg
,,,0x3a2,MRW,pmpcfg2,pmpcfg2 (PMP_ENABLE==1),pmpcfg2 (PMP_ENABLE==1),MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,PMP_ENABLE,ROZ,0,0,,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,0,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg
,,,0x3a3,MRW,pmpcfg3,pmpcfg3 (PMP_ENABLE==1),-,32,pmp*cfg,WARL,0 (A=L=0),"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,PMP_ENABLE,ROZ,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,0,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg
